"1855Arizona89A","Sedona","AZ","86336","AUTO_UNIQUE_ID_2019-10-01_jennismarie_GFaddresses","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","PPostArticle","PPreArticle","PPreType","PNumber","PNumberFractional","PPreDirectional","PName","PSuffix","PPostDirectional","PSuiteType","PSuiteNumber","PPostOfficeBoxType","PPostOfficeBoxNumber","PCity","PState","PZip","PZipPlus1","PZipPlus2","PZipPlus3","PZipPlus4","PZipPlus5","PPreQualifier","PPostQualifier","PConsolidatedCity","PMinorCivilDivision","PCountySubRegion","PCounty"
"1020 South Milton Road"," Suite 102","Flagstaff","",13,"USCGeocoder",124.9863,1,"4.1","","","","Unmatchable","Unmatchable","LOCATION_TYPE_UNKNOWN","Unknown","NotAttempted","-1","NotAttempted","Unknown","0","FeatureClassBased","ReturnAll","","Unmatchable","","","0",0,0,"","","","","1020","","S","MILTON","RD","","","","","","Suite 102","","","","","","","","","","","","",""
"2619 S Woodlands Village Blvd Suite #650"," Flagstaff","AZ","86001",14,"USCGeocoder",218.7058,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1770293,-111.668542,"Exact","","","","2619","","S","WOODLANDS VILLAGE","BLVD","","STE","#650","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"360 W Forest Meadows St"," Flagstaff","AZ","86001",15,"USCGeocoder",187.4879,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1791738,-111.662584,"Exact","","","","360","","W","FOREST MEADOWS","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"522 E Rte 66"," Flagstaff","AZ","86001",16,"USCGeocoder",218.6994,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1958357,-111.6432477,"Exact","","","RT","522","","E","66","","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"413 N San Francisco St"," Flagstaff","AZ","86001",17,"USCGeocoder",171.889,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.2012565,-111.6462732,"Exact","","","","413","","N","SAN FRANCISCO","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"119 W Phoenix Ave"," Flagstaff","AZ","86001",18,"USCGeocoder",203.1861,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1969379,-111.6516387,"Exact","","","","119","","W","PHOENIX","AVE","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"19 W Phoenix Ave"," Flagstaff","AZ","86001",19,"USCGeocoder",203.2925,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1966988,-111.6505008,"Exact","","","","19","","W","PHOENIX","AVE","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"103 N Leroux St"," Flagstaff","AZ","86001",20,"USCGeocoder",171.8572,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1987376,-111.6487262,"Exact","","","","103","","N","LEROUX","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"2220 E W Rte 66"," Flagstaff","AZ","86004",21,"USCGeocoder",218.7554,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","95.8579881656805","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.2038656,-111.6154284,"Relaxed","","","RT","2220","","E W","66","","","","","","","Flagstaff","AZ","86004","","","","","","","","","","",""
"110 S San Francisco St"," Flagstaff","AZ","86001",22,"USCGeocoder",171.9092,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1950096,-111.648978,"Exact","","","","110","","S","SAN FRANCISCO","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"2 Beaver St"," Flagstaff","AZ","86001",23,"USCGeocoder",218.7368,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","95.8579881656805","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1971699,-111.6504618,"Relaxed","","","","2","","","BEAVER","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"2500 S Woodlands Village Blvd #8"," Flagstaff","AZ","86001",24,"USCGeocoder",171.8572,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1780371,-111.6680942,"Exact","","","","2500","","S","WOODLANDS VILLAGE","BLVD","","UNIT","#8","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"14 Beaver St"," Flagstaff","AZ","86001",25,"USCGeocoder",156.2227,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","95.8579881656805","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1963211,-111.6508028,"Relaxed","","","","14","","","BEAVER","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"409 S San Francisco St"," Flagstaff","AZ","86001",26,"USCGeocoder",187.5027,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1923208,-111.6504433,"Exact","","","","409","","S","SAN FRANCISCO","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"1800 S Milton Rd"," Flagstaff","AZ","86001",27,"USCGeocoder",218.7722,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1829672,-111.6611679,"Exact","","","","1800","","S","MILTON","RD","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"117 N Beaver St A"," Flagstaff","AZ","86001",28,"USCGeocoder",187.5425,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.199469,-111.649623,"Exact","","","","117","","N","BEAVER","ST","","UNIT","A","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"103 W Birch Ave"," Flagstaff","AZ","86001",29,"USCGeocoder",234.4034,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1997499,-111.649677,"Exact","","","","103","","W","BIRCH","AVE","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"111 E Aspen Ave"," Flagstaff","AZ","86001",30,"USCGeocoder",203.243,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1979124,-111.6472155,"Exact","","","","111","","E","ASPEN","AVE","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"101 S San Francisco St"," Flagstaff","AZ","86001",31,"USCGeocoder",187.4813,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1952937,-111.6490695,"Exact","","","","101","","S","SAN FRANCISCO","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"320 Regent St"," Flagstaff","AZ","86001",32,"USCGeocoder",202.9743,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","95.8579881656805","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1915515,-111.6417381,"Relaxed","","","","320","","","REGENT","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"1500 South Riordan Ranch Street"," Flagstaff","AZ","86001",33,"USCGeocoder",250.0264,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1864606,-111.6599146,"Exact","","","","1500","","S","RIORDAN RANCH","ST","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"1300 S Milton Rd"," Flagstaff","AZ","86001",34,"USCGeocoder",234.3253,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.187664,-111.6613141,"Exact","","","","1300","","S","MILTON","RD","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"1312 S Plaza Way"," Flagstaff","AZ","86001",35,"USCGeocoder",203.1139,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1873989,-111.6634614,"Exact","","","","1312","","S","PLAZA","WAY","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"1435 S Milton Rd"," Flagstaff","AZ","86001",36,"USCGeocoder",265.4718,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1863958,-111.6617082,"Exact","","","","1435","","S","MILTON","RD","","","","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"2200 E Butler Ave"," Flagstaff","AZ","86004",37,"USCGeocoder",203.1231,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1923654,-111.6242971,"Exact","","","","2200","","E","BUTLER","AVE","","","","","","Flagstaff","AZ","86004","","","","","","","","","","",""
"2515 East Butler Avenue"," Flagstaff","AZ","86004",38,"USCGeocoder",156.2338,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.191559,-111.6197422,"Exact","","","","2515","","E","BUTLER","AVE","","","","","","Flagstaff","AZ","86004","","","","","","","","","","",""
"601 Piccadilly Dr #55"," Flagstaff","AZ","86001",39,"USCGeocoder",250.0203,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","95.8579881656805","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.1912551,-111.6429835,"Relaxed","","","","601","","","PICCADILLY","DR","","UNIT","#55","","","Flagstaff","AZ","86001","","","","","","","","","","",""
"1500 E Cedar Ave"," Flagstaff","AZ","86004",40,"USCGeocoder",234.7397,1,"4.1","","","00","AddressPoint","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","Parcel","100","FeatureClassBased","ReturnAll","","AddressPoint","","","1",35.2182007,-111.6211394,"Exact","","","","1500","","E","CEDAR","AVE","","","","","","Flagstaff","AZ","86004","","","","","","","","","","",""
"2400 Historic Rte 66"," Flagstaff","AZ","86004",41,"USCGeocoder",156.3879,1,"4.1","","","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","1975839801.30042","ArealInterpolationGeometricCentroid","ZCTA","60","FeatureClassBased","ReturnAll","","ZCTACentroid","","","1",35.3876221932077,-111.384798297143,"Relaxed;Soundex","","","","2400","","","HISTORIC","RTE","","UNIT","66","","","Flagstaff","AZ","86004","","","","","","","","","","",""
